,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.17,18.7,15.9,4.2,53.3%,15.7%,256,16.5%,"6,120"
1,Jett,1.14,17.6,15.4,3.8,51.5%,12.9%,246,19%,"5,049"
2,Sage,0.99,14.7,14.8,4.8,52.3%,11.2%,198,11.4%,"4,386"
3,Omen,0.94,14.5,15.4,5.5,46.7%,9.8%,202,12.1%,"3,825"
4,Raze,1.05,16.5,15.8,5.1,45.6%,8.9%,245,15.8%,"3,468"
5,Killjoy,1.00,13.9,13.9,3.8,50%,7.3%,197,8.8%,"2,856"
6,Sova,0.93,13.7,14.6,5.7,56.9%,6.7%,196,10.7%,"2,601"
7,Brimstone,1.10,16.4,14.9,7.3,61%,5.4%,226,10.7%,"2,091"
8,Phoenix,1.10,17.3,15.8,3.8,63.9%,4.7%,229,16%,"1,836"
9,Cypher,0.98,13.9,14.3,3.9,42.9%,4.6%,200,12.5%,"1,785"
10,Viper,0.97,15.1,15.6,6.4,43.3%,3.9%,205,8.2%,"1,530"
11,Breach,0.91,14.4,15.9,5.8,42.3%,3.4%,209,14.4%,"1,326"
12,Skye,0.97,15.3,15.8,3.9,29.2%,3.1%,213,12.8%,"1,224"
13,Yoru,0.68,12.4,18.2,3.9,25%,1.6%,172,16.8%,612
14,Astra,0.87,15.6,17.9,4.9,28.6%,0.9%,207,17.4%,357
