,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.14,18.2,16.0,5.0,40%,17%,251,14.6%,"2,295"
1,Sage,0.87,11.3,13.0,4.3,60.5%,16.2%,167,12.8%,"2,193"
2,Jett,1.08,16.4,15.3,4.6,48.1%,10.2%,235,14.6%,"1,377"
3,Killjoy,1.01,14.7,14.6,4.5,50%,9.1%,211,10.8%,"1,224"
4,Viper,0.76,12.1,16.0,5.2,28.6%,7.9%,175,13.7%,"1,071"
5,Omen,0.74,12.1,16.3,4.7,33.3%,6.8%,175,11%,918
6,Raze,0.97,14.6,15.1,3.5,52.9%,6.4%,228,13.3%,867
7,Cypher,1.03,14.6,14.2,5.0,50%,5.3%,197,13.7%,714
8,Phoenix,1.11,16.8,15.1,4.0,50%,4.5%,237,15.9%,612
9,Sova,0.99,13.4,13.5,4.3,83.3%,4.5%,187,14.3%,612
10,Skye,0.85,13.0,15.3,4.9,33.3%,3.4%,178,15.4%,459
11,Brimstone,0.73,12.9,17.7,7.2,11.1%,3.4%,186,14.7%,459
12,Yoru,0.86,12.9,15.0,4.5,37.5%,3%,180,3.9%,408
13,Breach,1.35,18.6,13.8,5.6,80%,1.9%,238,11.8%,255
14,Astra,0.83,15.0,18.0,1.0,0%,0.4%,179,6.7%,51
