,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,0.86,15.5,17.9,3.5,42.9%,16.7%,204,24.9%,714
1,Cypher,1.13,17.4,15.4,4.4,33.3%,10.7%,215,8.3%,459
2,Raze,1.06,15.8,14.9,5.4,62.5%,9.5%,250,16.7%,408
3,Omen,0.83,12.9,15.5,5.9,37.5%,9.5%,192,15.5%,408
4,Skye,0.94,15.1,16.1,4.4,42.9%,8.3%,181,12.3%,357
5,Reyna,1.15,17.6,15.3,3.3,42.9%,8.3%,245,17.9%,357
6,Sage,0.90,12.5,13.8,3.8,66.7%,7.1%,175,12%,306
7,Viper,0.83,14.3,17.3,9.5,100%,4.8%,179,12.3%,204
8,Brimstone,0.88,14.0,16.0,11.0,50%,4.8%,176,10.7%,204
9,Sova,1.03,16.3,15.8,6.5,25%,4.8%,217,10.8%,204
10,Killjoy,0.98,13.8,14.0,5.5,100%,4.8%,190,9.1%,204
11,Astra,0.72,11.3,15.7,5.0,0%,3.6%,157,5.9%,153
12,Yoru,0.80,13.7,17.0,4.0,33.3%,3.6%,195,22%,153
13,Phoenix,1.00,16.0,16.0,3.5,0%,2.4%,213,15.6%,102
14,Breach,0.78,14.0,18.0,8.0,0%,1.2%,195,28.6%,51
