,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.14,18.6,16.3,3.5,65%,14.9%,246,19.1%,"1,020"
1,Reyna,1.16,17.9,15.4,4.5,56.3%,11.9%,249,15.7%,816
2,Omen,0.82,12.1,14.9,5.4,37.5%,11.9%,178,11.9%,816
3,Sova,1.01,14.1,13.9,5.0,33.3%,11.2%,196,8.5%,765
4,Raze,1.13,18.0,15.9,5.3,46.7%,11.2%,247,18.9%,765
5,Killjoy,0.87,11.7,13.5,4.1,80%,7.5%,182,14.5%,510
6,Phoenix,1.27,19.2,15.1,2.7,50%,7.5%,260,18.2%,510
7,Sage,1.13,16.0,14.1,4.5,50%,6%,201,11.7%,408
8,Cypher,0.74,11.6,15.7,3.9,42.9%,5.2%,152,11.1%,357
9,Brimstone,0.79,12.8,16.2,7.7,33.3%,4.5%,182,13%,306
10,Skye,0.82,12.3,15.0,3.3,25%,3%,190,16.3%,204
11,Astra,1.10,14.7,13.3,4.7,66.7%,2.2%,212,4.5%,153
12,Viper,1.07,14.5,13.5,6.0,50%,1.5%,212,17.2%,102
13,Breach,1.26,24.0,19.0,10.0,100%,0.7%,287,8.3%,51
14,Yoru,1.20,18.0,15.0,4.0,100%,0.7%,256,27.8%,51
