,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.12,16.9,15.1,3.6,42.9%,19.2%,235,21.1%,"1,428"
1,Sage,0.77,11.3,14.7,4.2,47.8%,15.8%,160,10%,"1,173"
2,Reyna,1.14,16.8,14.7,4.1,47.1%,11.6%,241,17.5%,867
3,Raze,0.95,15.5,16.4,4.8,28.6%,9.6%,239,19.4%,714
4,Sova,1.07,15.8,14.7,5.4,42.9%,9.6%,234,12.2%,714
5,Cypher,1.03,15.2,14.8,3.3,50%,6.8%,200,11.2%,510
6,Omen,0.97,14.1,14.6,5.4,40%,6.8%,192,9.2%,510
7,Killjoy,0.87,13.9,15.9,3.6,33.3%,6.2%,188,8.8%,459
8,Brimstone,0.85,11.9,14.0,4.8,50%,5.5%,172,13.7%,408
9,Skye,1.12,16.0,14.3,3.5,33.3%,4.1%,237,10.4%,306
10,Phoenix,1.05,14.7,14.0,1.0,33.3%,2.1%,228,11.4%,153
11,Yoru,1.28,20.5,16.0,2.0,0%,1.4%,262,7.3%,102
12,Viper,2.33,14.0,6.0,3.0,100%,0.7%,216,14.3%,51
13,Astra,0.72,13.0,18.0,6.0,0%,0.7%,174,23.1%,51
