,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.13,17.5,15.5,4.6,50%,16%,251,18.1%,"1,734"
1,Jett,1.16,17.0,14.7,3.3,54.8%,14.6%,243,20.1%,"1,581"
2,Sage,1.01,14.2,14.1,4.6,62.1%,13.7%,194,11.1%,"1,479"
3,Cypher,0.90,14.1,15.6,4.8,47.6%,9.9%,175,8.8%,"1,071"
4,Raze,0.97,15.7,16.2,5.1,50%,8.5%,236,20.8%,918
5,Brimstone,0.86,13.9,16.2,8.0,30.8%,6.1%,192,7.7%,663
6,Omen,0.93,14.4,15.5,5.5,61.5%,6.1%,191,10.7%,663
7,Sova,0.87,14.1,16.3,7.2,41.7%,5.7%,210,8.3%,612
8,Killjoy,1.19,16.7,14.0,4.6,40%,4.7%,226,15.6%,510
9,Skye,1.13,14.7,13.0,4.6,85.7%,3.3%,204,12.6%,357
10,Phoenix,1.18,19.1,16.3,5.9,71.4%,3.3%,254,20.9%,357
11,Breach,0.88,13.3,15.2,7.3,66.7%,2.8%,192,18.8%,306
12,Viper,1.04,15.8,15.2,6.8,33.3%,2.8%,216,14.7%,306
13,Yoru,0.74,15.0,20.3,5.3,33.3%,1.4%,196,15.6%,153
14,Astra,1.45,16.0,11.0,5.5,100%,0.9%,193,6.3%,102
