,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.92,13.9,15.1,4.8,54.9%,14.2%,189,10.5%,"5,202"
1,Reyna,1.07,16.4,15.3,4.4,47.9%,13.1%,235,16.2%,"4,794"
2,Jett,0.99,15.8,16.1,4.3,41.4%,9.7%,225,19.8%,"3,570"
3,Sova,0.93,14.0,15.0,6.2,46.3%,9.3%,195,10%,"3,417"
4,Killjoy,0.96,13.2,13.7,4.5,53%,9.2%,201,9.6%,"3,366"
5,Omen,1.05,15.3,14.5,4.5,55%,8.3%,210,11.5%,"3,060"
6,Raze,0.96,15.1,15.7,4.7,46.4%,7.8%,232,13%,"2,856"
7,Phoenix,1.07,16.3,15.2,3.9,52.6%,5.3%,233,17%,"1,938"
8,Cypher,0.95,13.9,14.7,4.3,50%,5.3%,191,12.9%,"1,938"
9,Brimstone,0.78,12.2,15.6,5.3,43.2%,5.1%,177,12%,"1,887"
10,Viper,1.08,15.2,14.1,4.9,48.4%,4.3%,210,12.7%,"1,581"
11,Yoru,0.84,13.7,16.4,3.5,36%,3.5%,194,17.5%,"1,275"
12,Skye,0.77,12.2,15.9,4.7,45%,2.8%,173,12.3%,"1,020"
13,Breach,1.31,16.0,12.2,4.5,54.5%,1.5%,239,15.3%,561
14,Astra,0.86,14.6,17.0,3.2,40%,0.7%,194,13.7%,255
