,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.15,17.8,15.4,4.0,50%,16.3%,254,15.6%,"10,098"
1,Sage,0.93,13.6,14.7,4.2,45.9%,12.9%,192,11.6%,"8,007"
2,Jett,1.08,16.5,15.3,3.6,45.2%,12%,237,16.7%,"7,446"
3,Omen,0.90,14.0,15.6,5.4,50.5%,8.6%,196,12.7%,"5,355"
4,Raze,1.04,16.5,15.9,4.9,43.8%,8.6%,246,15.3%,"5,355"
5,Killjoy,1.06,14.3,13.4,4.4,60.2%,7.6%,208,9.9%,"4,743"
6,Sova,1.00,15.0,15.0,6.3,56%,6.2%,206,10.9%,"3,825"
7,Cypher,0.94,13.7,14.5,4.3,46.9%,5.3%,188,9.8%,"3,264"
8,Phoenix,1.11,17.8,16.0,4.5,44.8%,4.8%,252,19.9%,"2,958"
9,Viper,1.01,15.0,14.8,5.8,53.4%,4.8%,204,10.5%,"2,958"
10,Brimstone,0.93,13.9,15.1,6.4,48.2%,4.6%,199,13.3%,"2,856"
11,Skye,0.98,15.8,16.2,4.3,51.2%,3.5%,204,12.8%,"2,193"
12,Breach,1.08,16.0,14.9,5.2,51.7%,2.4%,226,14%,"1,479"
13,Yoru,0.86,13.1,15.2,3.5,35%,1.6%,199,16.1%,"1,020"
14,Astra,1.13,14.3,12.6,4.3,63.6%,0.9%,192,8.9%,561
