,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.91,13.2,14.6,4.7,49.5%,19.9%,188,12.4%,"4,743"
1,Reyna,1.11,16.9,15.1,4.9,53.8%,13.9%,241,15.1%,"3,315"
2,Raze,1.00,15.3,15.3,5.7,56.8%,9.4%,228,16.2%,"2,244"
3,Jett,0.99,15.7,15.9,4.2,48.8%,8.8%,224,14.8%,"2,091"
4,Killjoy,1.01,13.8,13.6,4.1,55%,8.5%,203,9.3%,"2,040"
5,Omen,0.94,13.8,14.6,3.9,44.1%,7.3%,204,13.7%,"1,734"
6,Sova,1.01,14.1,14.0,6.2,63.3%,6.4%,206,9.9%,"1,530"
7,Viper,0.82,12.7,15.4,5.5,38.5%,5.6%,181,8.5%,"1,326"
8,Phoenix,0.89,14.1,15.9,4.0,45.5%,4.7%,199,17.1%,"1,122"
9,Brimstone,1.07,14.8,13.8,5.4,57.9%,4.1%,217,11.4%,969
10,Cypher,0.95,13.3,13.9,5.2,47.1%,3.6%,188,7.5%,867
11,Yoru,0.74,11.6,15.6,4.2,56.3%,3.4%,170,14.6%,816
12,Skye,0.71,11.0,15.5,4.3,53.8%,2.8%,169,15.4%,663
13,Breach,1.01,15.2,15.0,5.4,80%,1.1%,218,13.2%,255
14,Astra,1.46,25.3,17.3,7.3,33.3%,0.6%,299,11.8%,153
