,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.63,9.5,15.2,4.6,22.2%,16.7%,140,12.9%,918
1,Killjoy,0.99,14.2,14.2,4.5,53.8%,12%,211,8.2%,663
2,Jett,0.73,11.6,15.8,4.3,50%,9.3%,175,15.5%,510
3,Raze,0.75,12.1,16.1,3.8,50%,9.3%,166,10.7%,510
4,Reyna,1.11,16.5,14.9,4.5,50%,9.3%,226,16.4%,510
5,Sova,0.78,12.0,15.3,5.9,40%,9.3%,178,6.7%,510
6,Viper,1.01,14.4,14.3,5.9,57.1%,6.5%,205,4%,357
7,Omen,0.88,15.3,17.4,4.9,42.9%,6.5%,218,15%,357
8,Cypher,0.60,8.7,14.3,5.0,50%,5.6%,135,5.8%,306
9,Brimstone,0.83,13.4,16.2,5.0,20%,4.6%,204,10.4%,255
10,Phoenix,1.33,17.0,12.8,4.6,60%,4.6%,239,15.3%,255
11,Yoru,0.70,10.3,14.7,7.0,66.7%,2.8%,167,19.4%,153
12,Breach,0.90,13.5,15.0,4.5,100%,1.9%,177,7.4%,102
13,Skye,1.09,12.5,11.5,3.0,100%,1.9%,180,20%,102
