,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.93,13.7,14.7,4.8,47.7%,16.6%,191,11.6%,"5,559"
1,Reyna,1.21,18.6,15.4,4.9,56.3%,13.3%,271,16.2%,"4,437"
2,Jett,1.08,16.6,15.3,4.1,52.2%,10.5%,237,15.6%,"3,519"
3,Omen,0.94,14.5,15.4,4.3,47.5%,9.3%,203,12.4%,"3,111"
4,Killjoy,1.02,14.3,13.9,4.6,58.6%,8.8%,210,10.3%,"2,958"
5,Raze,0.97,15.9,16.3,5.6,52.7%,8.4%,229,14.2%,"2,805"
6,Sova,0.87,12.5,14.4,5.8,44.4%,6.9%,187,9.6%,"2,295"
7,Phoenix,0.93,14.4,15.5,4.3,48.3%,4.4%,215,16.3%,"1,479"
8,Cypher,0.97,14.8,15.3,4.4,44.4%,4.1%,202,9.3%,"1,377"
9,Brimstone,0.97,14.1,14.6,5.8,50%,4%,198,12%,"1,326"
10,Viper,0.94,14.3,15.2,6.1,52%,3.8%,192,8.4%,"1,275"
11,Yoru,0.96,15.2,15.9,3.4,33.3%,3.2%,222,18.8%,"1,071"
12,Breach,1.07,15.5,14.4,5.6,47.4%,2.9%,217,8.5%,969
13,Skye,0.88,13.2,15.1,5.4,61.1%,2.7%,189,16.4%,918
14,Astra,0.96,15.4,16.1,4.6,57.1%,1.1%,195,12%,357
