,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.18,18.5,15.6,4.4,49.1%,15.5%,258,17.7%,"2,703"
1,Sage,1.03,14.6,14.1,4.3,61.9%,12.2%,196,11.6%,"2,142"
2,Omen,1.00,14.7,14.7,5.0,52.6%,11.1%,203,13.9%,"1,938"
3,Raze,1.09,16.8,15.4,5.2,57.9%,11.1%,253,15.8%,"1,938"
4,Jett,1.03,15.1,14.7,3.4,41.7%,10.5%,231,20.2%,"1,836"
5,Brimstone,0.92,13.0,14.2,6.9,53.8%,7.6%,197,8.9%,"1,326"
6,Sova,0.94,14.0,14.9,6.1,40%,7.3%,201,11.1%,"1,275"
7,Cypher,1.11,14.4,13.0,3.7,52.6%,5.5%,196,5.5%,969
8,Killjoy,1.15,14.2,12.4,3.9,64.7%,5%,206,9.5%,867
9,Phoenix,0.82,12.7,15.5,3.3,23.1%,3.8%,211,21.2%,663
10,Viper,1.19,16.9,14.2,5.2,58.3%,3.5%,233,10.3%,612
11,Skye,1.06,16.9,16.0,3.5,18.2%,3.2%,227,16.7%,561
12,Breach,0.62,10.2,16.4,6.8,20%,1.5%,177,19.6%,255
13,Astra,0.93,16.0,17.3,4.3,0%,1.2%,225,17.2%,204
14,Yoru,0.60,9.8,16.3,3.0,0%,1.2%,169,23.1%,204
