,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.91,12.8,14.0,4.5,54.5%,16.7%,186,11.1%,"35,853"
1,Reyna,1.10,16.6,15.1,4.3,51.4%,13.9%,243,16.5%,"29,784"
2,Jett,1.07,15.8,14.8,4.0,51.2%,11%,231,17.4%,"23,613"
3,Omen,0.96,14.1,14.8,4.7,51.4%,8.6%,204,12%,"18,360"
4,Killjoy,0.97,13.3,13.7,4.3,53.3%,7.9%,203,9.9%,"17,034"
5,Sova,0.92,13.2,14.4,5.6,46.1%,7.9%,193,10.1%,"17,034"
6,Raze,1.00,15.5,15.5,5.0,45.4%,7.8%,235,14.2%,"16,728"
7,Viper,1.05,14.5,13.8,4.8,56.1%,5%,211,11.9%,"10,812"
8,Phoenix,1.05,14.9,14.3,3.8,55.9%,4.8%,225,17.1%,"10,302"
9,Brimstone,0.90,13.3,14.7,6.0,48.8%,4%,196,12.4%,"8,670"
10,Cypher,0.92,13.4,14.6,4.3,44.9%,3.5%,190,10.8%,"7,497"
11,Skye,0.87,13.2,15.1,4.0,44.4%,3.4%,189,12.2%,"7,344"
12,Yoru,0.94,14.1,15.0,3.4,46.1%,2.7%,208,16.1%,"5,865"
13,Breach,0.95,13.3,14.0,4.9,60%,1.5%,204,15.8%,"3,315"
14,Astra,0.92,14.0,15.2,4.8,48.8%,1%,193,10.8%,"2,091"
