,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.75,11.1,14.7,4.5,46.5%,16.9%,163,11.3%,"5,151"
1,Reyna,1.02,16.0,15.7,4.5,49.3%,11.5%,224,16.3%,"3,519"
2,Raze,0.85,13.1,15.3,4.8,50%,9.7%,198,13.3%,"2,958"
3,Jett,0.99,15.4,15.6,4.0,46.4%,9.3%,223,16.9%,"2,856"
4,Killjoy,1.00,13.6,13.6,4.4,51.9%,8.7%,203,8.5%,"2,652"
5,Omen,0.86,13.1,15.2,3.9,52.1%,8%,192,13.6%,"2,448"
6,Sova,0.78,11.2,14.4,5.1,47.9%,8%,169,10.4%,"2,448"
7,Viper,0.92,14.2,15.4,5.7,44.7%,6.3%,195,9.3%,"1,938"
8,Phoenix,1.11,14.6,13.2,4.1,62.5%,5.3%,219,16%,"1,632"
9,Yoru,0.93,13.3,14.3,3.3,47.8%,3.8%,193,16%,"1,173"
10,Cypher,0.78,11.7,15.0,5.3,34.8%,3.8%,173,10%,"1,173"
11,Brimstone,0.79,12.1,15.3,5.9,43.8%,2.7%,178,10.9%,816
12,Skye,0.98,13.9,14.2,4.5,53.3%,2.5%,193,11.5%,765
13,Breach,0.93,12.4,13.4,5.3,69.2%,2.2%,192,11.2%,663
14,Astra,0.70,9.9,14.0,4.0,42.9%,1.2%,158,15.9%,357
