,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.88,12.4,14.1,4.4,53%,18.4%,179,11.4%,"15,096"
1,Reyna,1.06,15.7,14.7,4.5,51.3%,14.7%,232,16.3%,"12,036"
2,Jett,1.02,15.0,14.7,4.2,55.9%,10%,225,16.9%,"8,211"
3,Raze,1.00,15.1,15.0,4.8,51.6%,8%,230,13.7%,"6,528"
4,Killjoy,1.00,13.8,13.8,4.2,52%,7.7%,202,10.5%,"6,273"
5,Omen,0.88,12.9,14.7,4.4,50%,7.6%,186,12%,"6,222"
6,Sova,0.92,13.2,14.3,5.2,52.4%,6.5%,199,12.2%,"5,355"
7,Viper,0.87,12.7,14.5,4.9,48.3%,5.5%,187,11.3%,"4,539"
8,Phoenix,1.09,16.4,15.0,4.4,49.3%,4.2%,240,14.4%,"3,417"
9,Brimstone,0.80,12.6,15.7,6.1,33.3%,4.1%,187,12.5%,"3,366"
10,Skye,0.86,12.8,14.8,4.1,46.9%,4%,190,13%,"3,264"
11,Cypher,0.93,13.2,14.2,4.2,44.4%,3.9%,185,9.9%,"3,213"
12,Yoru,0.97,14.2,14.6,4.2,50%,2.9%,210,13%,"2,346"
13,Breach,0.76,11.6,15.2,5.0,38.5%,1.6%,171,13.2%,"1,326"
14,Astra,0.91,13.2,14.5,3.4,53.8%,0.8%,182,11.6%,663
